year,indicator,value_per_10000_population
2003,Medical doctors,2.55
2005,Medical doctors,2.70
2006,Medical doctors,3.33
2007,Medical doctors,3.61
2008,Medical doctors,3.59
2009,Medical doctors,3.60
2013,Medical doctors,3.63
2016,Medical doctors,4.28
2018,Medical doctors,3.64
2019,Medical doctors,3.56
2021,Medical doctors,3.86
2022,Medical doctors,3.86
2023,Medical doctors,3.80
2024,Medical doctors,4.14
2003,Nursing and midwifery personnel,15.33
2005,Nursing and midwifery personnel,14.72
2006,Nursing and midwifery personnel,14.37
2007,Nursing and midwifery personnel,14.32
2008,Nursing and midwifery personnel,14.27
2009,Nursing and midwifery personnel,10.25
2010,Nursing and midwifery personnel,12.91
2013,Nursing and midwifery personnel,9.73
2016,Nursing and midwifery personnel,16.70
2019,Nursing and midwifery personnel,10.72
2020,Nursing and midwifery personnel,3.94
2021,Nursing and midwifery personnel,11.05
2022,Nursing and midwifery personnel,16.47
2024,Nursing and midwifery personnel,11.52
2004,Hospital beds,5.00
